Id,SalePrice
1461,124207.5
1462,152599.96875
1463,186862.625
1464,198936.1875
1465,196132.140625
1466,173335.015625
1467,173999.078125
1468,161182.859375
1469,164935.3125
1470,121187.375
1471,205943.75
1472,98405.9609375
1473,96835.7421875
1474,157035.71875
1475,113885.984375
1476,390168.25
1477,253610.984375
1478,312239.625
1479,312594.9375
1480,478399.53125
1481,313254.34375
1482,200304.5
1483,181906.859375
1484,164467.234375
1485,173954.65625
1486,198193.296875
1487,331747.1875
1488,214883.171875
1489,197156.109375
1490,260950.1875
1491,185031.0625
1492,105204.6953125
1493,193865.53125
1494,268275.75
1495,275315.375
1496,255117.015625
1497,182319.546875
1498,161331.203125
1499,162186.96875
1500,163889.296875
1501,242988.96875
1502,149997.625
1503,321670.28125
1504,218639.703125
1505,221498.84375
1506,188732.640625
1507,269245.96875
1508,195137.9375
1509,156456
1510,152588.421875
1511,150157.140625
1512,165923.25
1513,144729.203125
1514,158350.640625
1515,251720.34375
1516,158831.28125
1517,165242.609375
1518,139966.046875
1519,217861.3125
1520,141780
1521,143551.984375
1522,163524.25
1523,119136.1640625
1524,119987.765625
1525,120093.7421875
1526,116673.03125
1527,105605.671875
1528,127854.609375
1529,153706.0625
1530,177747.578125
1531,108260.09375
1532,95241.1796875
1533,140455.8125
1534,115030.078125
1535,154347.328125
1536,104974.1015625
1537,75735.90625
1538,157146.5625
1539,207523.75
1540,108960.4453125
1541,136034.46875
1542,132094.3125
1543,189027.921875
1544,83637.5234375
1545,112915.46875
1546,134009.46875
1547,148582.5
1548,130785.25
1549,117037.75
1550,136524.984375
1551,104242.5625
1552,138123.96875
1553,142291.3125
1554,111299.40625
1555,174701.34375
1556,87018.8203125
1557,100652.46875
1558,101739.8984375
1559,105422.59375
1560,132193.625
1561,142355.5
1562,126192.34375
1563,124944.0625
1564,156513.296875
1565,150385.1875
1566,219986.5625
1567,74770.8515625
1568,231715.9375
1569,154892.453125
1570,130508.875
1571,132094.59375
1572,146609.375
1573,269998.9375
1574,129290.953125
1575,222715.75
1576,249746.046875
1577,193392.9375
1578,133140.75
1579,143715.796875
1580,180044.4375
1581,152623.125
1582,127376.1953125
1583,351810.71875
1584,238088.734375
1585,142598.703125
1586,78533.75
1587,100979.921875
1588,147623.9375
1589,101311.71875
1590,130746.4765625
1591,102616.578125
1592,115797.96875
1593,117816.3515625
1594,210197.84375
1595,135832.015625
1596,236319.15625
1597,177427.125
1598,204687.515625
1599,165824.078125
1600,176164.71875
1601,78891.421875
1602,112451.8125
1603,68356.1953125
1604,289968.59375
1605,237438.3125
1606,163330.40625
1607,157632.515625
